date,open,close
2020-10-01,160.39999389648438,161.06300354003906
2020-10-02,157.68150329589844,156.25
2020-10-05,157.29200744628906,159.9600067138672
2020-10-06,158.25,154.9980010986328
2020-10-07,156.75,159.7845001220703
2020-10-08,161.24949645996094,159.52749633789062
2020-10-09,160.5,164.33250427246094
2020-10-12,167.4969940185547,172.14649963378906
2020-10-13,173.39950561523438,172.18150329589844
2020-10-14,172.35000610351562,168.1855010986328
2020-10-15,164.60049438476562,166.9324951171875
2020-10-16,168.1614990234375,163.635498046875
2020-10-19,164.98049926757812,160.36050415039062
2020-10-20,161.11399841308594,160.85049438476562
2020-10-21,160.625,159.2469940185547
2020-10-22,159.49349975585938,158.82000732421875
2020-10-23,159.5500030517578,160.22000122070312
2020-10-26,159.93699645996094,160.3520050048828
2020-10-27,161.2469940185547,164.31649780273438
2020-10-28,162.46499633789062,158.13900756835938
2020-10-29,160.06350708007812,160.55050659179688
2020-10-30,157.8874969482422,151.8074951171875
2020-11-02,153.08700561523438,150.2239990234375
2020-11-03,150.92649841308594,152.42050170898438
2020-11-04,157.99949645996094,162.05799865722656
2020-11-05,165.99850463867188,166.10000610351562
2020-11-06,165.23199462890625,165.56849670410156
2020-11-09,161.55149841308594,157.18699645996094
2020-11-10,154.75100708007812,151.75100708007812
2020-11-11,153.08900451660156,156.8695068359375
2020-11-12,157.99749755859375,155.51400756835938
2020-11-13,156.10000610351562,156.4405059814453
2020-11-16,154.66000366210938,156.55299377441406
2020-11-17,159.177001953125,156.7830047607422
2020-11-18,156.6999969482422,155.2729949951172
2020-11-19,155.2655029296875,155.8509979248047
2020-11-20,155.8509979248047,154.97000122070312
2020-11-23,155.8350067138672,154.91949462890625
2020-11-24,155.02499389648438,155.9029998779297
2020-11-25,157.093505859375,159.2534942626953
2020-11-27,160.56300354003906,159.76699829101562
2020-11-30,160.4239959716797,158.40199279785156
2020-12-01,159.4250030517578,161.00399780273438
2020-12-02,161.08250427246094,160.17649841308594
2020-12-03,160.2729949951172,159.3365020751953
2020-12-04,159.91050720214844,158.12899780273438
2020-12-07,157.82400512695312,157.89999389648438
2020-12-08,157.94500732421875,158.864501953125
2020-12-09,158.39450073242188,155.2100067138672
2020-12-10,154.44949340820312,155.07449340820312
2020-12-11,154.83299255371094,155.8209991455078
2020-12-14,157.14999389648438,157.84849548339844
2020-12-15,159.05050659179688,158.25599670410156
2020-12-16,158.80050659179688,162.04800415039062
2020-12-17,162.5,161.8040008544922
2020-12-18,162.19949340820312,160.08250427246094
2020-12-21,160.00050354003906,160.3090057373047
2020-12-22,160.14199829101562,160.3260040283203
2020-12-23,160.25,159.2635040283203
2020-12-24,159.69500732421875,158.63450622558594
2020-12-28,159.6999969482422,164.197998046875
2020-12-29,165.4969940185547,166.10000610351562
2020-12-30,167.0500030517578,164.29249572753906
2020-12-31,163.75,162.84649658203125
2021-01-04,163.5,159.3314971923828
2021-01-05,158.30050659179688,160.92550659179688
2021-01-06,157.32400512695312,156.91900634765625
2021-01-07,157.85000610351562,158.10800170898438
2021-01-08,159.0,159.13499450683594
2021-01-11,157.40049743652344,155.7104949951172
2021-01-12,156.0,156.04150390625
2021-01-13,156.4219970703125,158.29449462890625
2021-01-14,158.37600708007812,156.37350463867188
2021-01-15,156.1510009765625,155.21249389648438
2021-01-19,155.35000610351562,156.03799438476562
2021-01-20,159.09950256347656,163.16900634765625
2021-01-21,164.64999389648438,165.34950256347656
2021-01-22,165.2154998779297,164.6114959716797
2021-01-25,166.4250030517578,164.6999969482422
2021-01-26,164.8179931640625,166.30650329589844
2021-01-27,167.07449340820312,161.62899780273438
2021-01-28,161.7519989013672,161.88099670410156
2021-01-29,161.5,160.30999755859375
2021-02-01,162.1179962158203,167.1439971923828
2021-02-02,169.0,169.0
2021-02-03,171.25050354003906,165.62649536132812
2021-02-04,166.5,166.5500030517578
2021-02-05,165.9499969482422,167.6074981689453
2021-02-08,167.9250030517578,166.14700317382812
2021-02-09,165.62449645996094,165.25
2021-02-10,165.6999969482422,164.32899475097656
2021-02-11,164.60000610351562,163.10650634765625
2021-02-12,162.5,163.885498046875
2021-02-16,162.70249938964844,163.44749450683594
2021-02-17,163.17999267578125,165.4320068359375
2021-02-18,164.12100219726562,166.4114990234375
2021-02-19,166.4114990234375,162.4949951171875
2021-02-22,160.406494140625,159.03700256347656
2021-02-23,156.35150146484375,159.72500610351562
2021-02-24,158.33749389648438,157.97650146484375
2021-02-25,156.83700561523438,152.85800170898438
2021-02-26,154.75999450683594,154.64649963378906
2021-03-01,156.39450073242188,157.3070068359375
2021-03-02,157.17349243164062,154.72650146484375
2021-03-03,154.0590057373047,150.25
2021-03-04,150.60000610351562,148.8784942626953
2021-03-05,150.25,150.0229949951172
2021-03-08,150.75,147.59750366210938
2021-03-09,150.89950561523438,153.1425018310547
2021-03-10,154.92250061035156,152.8820037841797
2021-03-11,155.20050048828125,155.67950439453125
2021-03-12,153.75,154.47450256347656
2021-03-15,153.72850036621094,154.08399963378906
2021-03-16,155.24850463867188,154.59300231933594
2021-03-17,153.66099548339844,156.7864990234375
2021-03-18,155.0500030517578,151.39950561523438
2021-03-19,151.4615020751953,153.7480010986328
2021-03-22,153.3925018310547,155.5435028076172
2021-03-23,156.35000610351562,156.875
2021-03-24,157.552001953125,154.35350036621094
2021-03-25,153.64950561523438,152.31300354003906
2021-03-26,152.2030029296875,152.60150146484375
2021-03-29,152.77200317382812,153.7864990234375
2021-03-30,153.50050354003906,152.76449584960938
2021-03-31,153.2030029296875,154.70399475097656
2021-04-01,155.89700317382812,158.0500030517578
2021-04-05,158.64999389648438,161.3365020751953
2021-04-06,161.1875,161.1909942626953
2021-04-07,161.69000244140625,163.96949768066406
2021-04-08,165.5449981689453,164.96499633789062
2021-04-09,165.23500061035156,168.61000061035156
2021-04-12,167.760498046875,168.96949768066406
2021-04-13,170.04249572753906,170.0
2021-04-14,170.20199584960938,166.64999389648438
2021-04-15,168.5500030517578,168.95449829101562
2021-04-16,169.0,169.9720001220703
2021-04-19,169.51649475097656,168.60049438476562
2021-04-20,168.67999267578125,166.7344970703125
2021-04-21,165.8000030517578,168.1009979248047
2021-04-22,168.58399963378906,165.45199584960938
2021-04-23,165.9550018310547,167.04400634765625
2021-04-26,167.39999389648438,170.4499969482422
2021-04-27,172.17349243164062,170.8715057373047
