date,average_sentiment,open,close,price_difference
2020-10-01,0.285836,157.68150329589844,161.06300354003906,-3.381500244140625
2020-10-02,0.28165599999999996,157.29200744628906,156.25,1.0420074462890625
2020-10-05,0.294772,158.25,159.9600067138672,-1.7100067138671875
2020-10-06,0.1442,156.75,154.9980010986328,1.7519989013671875
2020-10-07,0.317184,161.24949645996094,159.7845001220703,1.464996337890625
2020-10-08,0.133632,160.5,159.52749633789062,0.972503662109375
2020-10-09,0.21841333333333335,167.4969940185547,164.33250427246094,3.16448974609375
2020-10-12,0.35402,173.39950561523438,172.14649963378906,1.2530059814453125
2020-10-13,0.16095199999999998,172.35000610351562,172.18150329589844,0.1685028076171875
2020-10-14,0.259704,164.60049438476562,168.1855010986328,-3.5850067138671875
2020-10-15,0.222764,168.1614990234375,166.9324951171875,1.22900390625
2020-10-16,0.286316,164.98049926757812,163.635498046875,1.345001220703125
2020-10-19,0.328416,161.11399841308594,160.36050415039062,0.7534942626953125
2020-10-20,0.297208,160.625,160.85049438476562,-0.225494384765625
2020-10-21,0.24864800000000004,159.49349975585938,159.2469940185547,0.2465057373046875
2020-10-22,0.34391599999999994,159.5500030517578,158.82000732421875,0.7299957275390625
2020-10-23,0.17213466666666666,159.93699645996094,160.22000122070312,-0.2830047607421875
2020-10-26,0.114276,161.2469940185547,160.3520050048828,0.894989013671875
2020-10-27,0.155632,162.46499633789062,164.31649780273438,-1.85150146484375
2020-10-28,0.056056,160.06350708007812,158.13900756835938,1.92449951171875
2020-10-29,0.28962,157.8874969482422,160.55050659179688,-2.6630096435546875
2020-10-30,0.08886533333333334,153.08700561523438,151.8074951171875,1.279510498046875
2020-11-02,0.126768,150.92649841308594,150.2239990234375,0.7024993896484375
2020-11-03,0.156172,157.99949645996094,152.42050170898438,5.5789947509765625
2020-11-04,0.168412,165.99850463867188,162.05799865722656,3.9405059814453125
2020-11-05,0.262528,165.23199462890625,166.10000610351562,-0.868011474609375
2020-11-06,0.241128,161.55149841308594,165.56849670410156,-4.016998291015625
2020-11-09,0.23229599999999997,154.75100708007812,157.18699645996094,-2.4359893798828125
2020-11-10,0.250716,153.08900451660156,151.75100708007812,1.3379974365234375
2020-11-11,0.266144,157.99749755859375,156.8695068359375,1.12799072265625
2020-11-12,0.21046399999999998,156.10000610351562,155.51400756835938,0.58599853515625
2020-11-13,0.25933333333333336,154.66000366210938,156.4405059814453,-1.7805023193359375
2020-11-16,0.078796,159.177001953125,156.55299377441406,2.6240081787109375
2020-11-17,0.07819599999999999,156.6999969482422,156.7830047607422,-0.0830078125
2020-11-18,0.145172,155.2655029296875,155.2729949951172,-0.0074920654296875
2020-11-19,0.454156,155.8509979248047,155.8509979248047,0.0
2020-11-20,0.25933333333333336,155.8350067138672,154.97000122070312,0.8650054931640625
2020-11-23,0.23813600000000001,155.02499389648438,154.91949462890625,0.105499267578125
2020-11-24,0.194192,157.093505859375,155.9029998779297,1.1905059814453125
2020-11-25,0.202524,160.56300354003906,159.2534942626953,1.30950927734375
2020-11-27,0.24740933333333334,160.4239959716797,159.76699829101562,0.6569976806640625
2020-11-30,0.20828400000000002,159.4250030517578,158.40199279785156,1.02301025390625
2020-12-01,0.257436,161.08250427246094,161.00399780273438,0.0785064697265625
2020-12-02,0.182672,160.2729949951172,160.17649841308594,0.09649658203125
2020-12-03,0.42058,159.91050720214844,159.3365020751953,0.574005126953125
2020-12-04,0.161332,157.82400512695312,158.12899780273438,-0.30499267578125
2020-12-07,0.213052,157.94500732421875,157.89999389648438,0.045013427734375
2020-12-08,0.26774000000000003,158.39450073242188,158.864501953125,-0.470001220703125
2020-12-09,0.173644,154.44949340820312,155.2100067138672,-0.7605133056640625
2020-12-10,0.14868800000000001,154.83299255371094,155.07449340820312,-0.2415008544921875
2020-12-11,0.24133066666666667,157.14999389648438,155.8209991455078,1.3289947509765625
2020-12-14,0.07316,159.05050659179688,157.84849548339844,1.2020111083984375
2020-12-15,0.152388,158.80050659179688,158.25599670410156,0.5445098876953125
2020-12-16,0.12018000000000001,162.5,162.04800415039062,0.451995849609375
2020-12-17,0.248992,162.19949340820312,161.8040008544922,0.3954925537109375
2020-12-18,0.3551146666666667,160.00050354003906,160.08250427246094,-0.082000732421875
2020-12-21,0.133616,160.14199829101562,160.3090057373047,-0.1670074462890625
2020-12-22,0.24162,160.25,160.3260040283203,-0.0760040283203125
2020-12-23,0.206392,159.69500732421875,159.2635040283203,0.4315032958984375
2020-12-24,0.24015999999999998,159.6999969482422,158.63450622558594,1.06549072265625
2020-12-28,0.46650800000000003,165.4969940185547,164.197998046875,1.2989959716796875
2020-12-29,0.28039200000000003,167.0500030517578,166.10000610351562,0.9499969482421875
2020-12-30,0.312788,163.75,164.29249572753906,-0.5424957275390625
2020-12-31,0.25302399999999997,163.5,162.84649658203125,0.65350341796875
2021-01-04,0.20430399999999999,158.30050659179688,159.3314971923828,-1.0309906005859375
2021-01-05,0.13791599999999998,157.32400512695312,160.92550659179688,-3.60150146484375
2021-01-06,0.050084,157.85000610351562,156.91900634765625,0.930999755859375
2021-01-07,0.137376,159.0,158.10800170898438,0.891998291015625
2021-01-08,0.14894133333333334,157.40049743652344,159.13499450683594,-1.7344970703125
2021-01-11,0.202188,156.0,155.7104949951172,0.2895050048828125
2021-01-12,0.210172,156.4219970703125,156.04150390625,0.3804931640625
2021-01-13,0.196808,158.37600708007812,158.29449462890625,0.081512451171875
2021-01-14,0.178004,156.1510009765625,156.37350463867188,-0.222503662109375
2021-01-15,0.26388799999999996,155.35000610351562,155.21249389648438,0.13751220703125
2021-01-19,0.261644,159.09950256347656,156.03799438476562,3.0615081787109375
2021-01-20,0.317744,164.64999389648438,163.16900634765625,1.480987548828125
2021-01-21,0.26184,165.2154998779297,165.34950256347656,-0.134002685546875
2021-01-22,0.238364,166.4250030517578,164.6114959716797,1.813507080078125
2021-01-25,0.17612000000000003,164.8179931640625,164.6999969482422,0.1179962158203125
2021-01-26,0.2357,167.07449340820312,166.30650329589844,0.7679901123046875
2021-01-27,0.17976399999999998,161.7519989013672,161.62899780273438,0.1230010986328125
2021-01-28,0.133112,161.5,161.88099670410156,-0.3809967041015625
2021-01-29,0.12402666666666666,162.1179962158203,160.30999755859375,1.8079986572265625
2021-02-01,0.21860799999999997,169.0,167.1439971923828,1.8560028076171875
2021-02-02,0.23108,171.25050354003906,169.0,2.2505035400390625
2021-02-03,0.248292,166.5,165.62649536132812,0.873504638671875
2021-02-04,0.12958,165.9499969482422,166.5500030517578,-0.600006103515625
2021-02-05,0.15870666666666666,167.9250030517578,167.6074981689453,0.3175048828125
2021-02-08,0.166492,165.62449645996094,166.14700317382812,-0.5225067138671875
2021-02-09,0.17925714285714284,165.6999969482422,165.25,0.4499969482421875
2021-02-10,0.08714117647058824,164.60000610351562,164.32899475097656,0.2710113525390625
2021-02-11,0.13633199999999998,162.5,163.10650634765625,-0.60650634765625
2021-02-12,0.26726,162.70249938964844,163.885498046875,-1.1829986572265625
2021-02-16,0.152392,163.17999267578125,163.44749450683594,-0.2675018310546875
2021-02-17,0.146224,164.12100219726562,165.4320068359375,-1.311004638671875
2021-02-18,0.17453600000000002,166.4114990234375,166.4114990234375,0.0
2021-02-19,0.18626099999999998,160.406494140625,162.4949951171875,-2.0885009765625
2021-02-22,0.18126799999999998,156.35150146484375,159.03700256347656,-2.6855010986328125
2021-02-23,0.15459199999999998,158.33749389648438,159.72500610351562,-1.38751220703125
2021-02-24,0.292788,156.83700561523438,157.97650146484375,-1.139495849609375
2021-02-25,0.24774000000000002,154.75999450683594,152.85800170898438,1.9019927978515625
2021-02-26,0.17025333333333334,156.39450073242188,154.64649963378906,1.7480010986328125
2021-03-01,0.24988,157.17349243164062,157.3070068359375,-0.133514404296875
2021-03-02,0.151936,154.0590057373047,154.72650146484375,-0.6674957275390625
2021-03-03,0.17948,150.60000610351562,150.25,0.350006103515625
2021-03-04,0.079636,150.25,148.8784942626953,1.3715057373046875
2021-03-05,0.1853106666666667,150.75,150.0229949951172,0.7270050048828125
2021-03-08,0.267728,150.89950561523438,147.59750366210938,3.302001953125
2021-03-09,0.45194999999999996,154.92250061035156,153.1425018310547,1.779998779296875
2021-03-10,0.33659599999999995,155.20050048828125,152.8820037841797,2.3184967041015625
2021-03-11,0.06150400000000001,153.75,155.67950439453125,-1.92950439453125
2021-03-12,0.1954739607843137,153.72850036621094,154.47450256347656,-0.746002197265625
2021-03-15,0.1988125,155.24850463867188,154.08399963378906,1.1645050048828125
2021-03-16,0.297796,153.66099548339844,154.59300231933594,-0.9320068359375
2021-03-17,0.22404799999999997,155.0500030517578,156.7864990234375,-1.7364959716796875
2021-03-18,0.106596,151.4615020751953,151.39950561523438,0.0619964599609375
2021-03-19,0.29578933333333335,153.3925018310547,153.7480010986328,-0.355499267578125
2021-03-22,0.289796,156.35000610351562,155.5435028076172,0.8065032958984375
2021-03-23,0.24155200000000002,157.552001953125,156.875,0.677001953125
2021-03-24,0.287116,153.64950561523438,154.35350036621094,-0.7039947509765625
2021-03-25,0.22205200000000003,152.2030029296875,152.31300354003906,-0.1100006103515625
2021-03-26,0.19626933333333332,152.77200317382812,152.60150146484375,0.170501708984375
2021-03-29,0.39169200000000004,153.50050354003906,153.7864990234375,-0.2859954833984375
2021-03-30,0.226004,153.2030029296875,152.76449584960938,0.438507080078125
2021-03-31,0.333104,155.89700317382812,154.70399475097656,1.1930084228515625
2021-04-01,0.30976,158.64999389648438,158.0500030517578,0.5999908447265625
2021-04-05,0.189692,161.1875,161.3365020751953,-0.1490020751953125
