date,open,close
2020-10-01,114.430522644009,113.6037139892578
2020-10-02,109.81010332254507,109.93655395507812
2020-10-05,110.80227427302496,113.32160949707033
2020-10-06,112.5434428788478,110.07274627685548
2020-10-07,111.4929345429078,111.9403839111328
2020-10-08,113.0784517020909,111.8333740234375
2020-10-09,112.13492056450798,113.77881622314452
2020-10-12,116.7844746826492,121.00607299804688
2020-10-13,121.85235887523848,117.79612731933594
2020-10-14,117.69886347897864,117.88368225097656
2020-10-15,115.48106448900047,117.4167709350586
2020-10-16,117.97119397696682,115.7728500366211
2020-10-19,116.68721586654202,112.81580352783205
2020-10-20,113.02980416838348,114.30406951904295
2020-10-21,113.48697056487585,113.6815185546875
2020-10-22,114.24569636322538,112.59207916259766
2020-10-23,113.2146263110706,111.90145874023438
2020-10-26,110.89955881245989,111.91118621826172
2020-10-27,112.3391745749253,113.41889190673828
2020-10-28,111.91117547954262,108.16620635986328
2020-10-29,109.30430584931332,112.17382049560548
2020-10-30,108.03002883521329,105.89005279541016
2020-11-02,106.13323338437137,105.80250549316406
2020-11-03,106.66825263139128,107.42697143554688
2020-11-04,111.02600479592498,111.81390380859376
2020-11-05,114.73206338089028,115.78260040283205
2020-11-06,115.2905176092489,115.65104675292967
2020-11-09,117.41471118065078,113.34173583984376
2020-11-10,112.5914649825652,113.0007095336914
2020-11-11,114.18945127149736,116.43055725097656
2020-11-12,116.55723597528558,116.15773010253906
2020-11-13,116.38185824859464,116.20646667480467
2020-11-16,115.87516977446028,117.21984100341795
2020-11-17,116.48903680048612,116.3331298828125
2020-11-18,115.57310891661412,115.0079574584961
2020-11-19,114.57922192592288,115.6023406982422
2020-11-20,115.60235020034796,114.33563232421876
2020-11-23,114.1797070350925,110.93496704101562
2020-11-24,110.9934577345429,112.22119140625
2020-11-25,112.5914676385363,113.05917358398438
2020-11-27,113.58534323153174,113.60482788085938
2020-11-30,113.97509336124736,116.00183868408205
2020-12-01,117.91164950975931,119.57786560058594
2020-12-02,118.89579275045068,119.92865753173828
2020-12-03,120.35737264430932,119.79222869873048
2020-12-04,119.46094830759232,119.11991119384766
2020-12-07,119.17837220495473,120.58150482177734
2020-12-08,121.18560441240832,121.19534301757812
2020-12-09,121.34153828117272,118.66194915771484
2020-12-10,117.41472117824992,120.08456420898438
2020-12-11,119.29529488946088,119.27581024169922
