date,average_sentiment,close,open,price_difference
2020-10-01,0.264496,113.6037139892578,109.81010332254507,-3.7936106667127234
2020-10-02,0.19482,109.93655395507812,110.80227427302496,0.8657203179468382
2020-10-05,0.237484,113.32160949707033,112.5434428788478,-0.778166618222528
2020-10-06,0.103212,110.07274627685548,111.4929345429078,1.420188266052321
2020-10-07,0.13539199999999998,111.9403839111328,113.0784517020909,1.1380677909581038
2020-10-08,0.278152,111.8333740234375,112.13492056450798,0.3015465410704792
2020-10-09,0.253848,113.77881622314452,116.7844746826492,3.005658459504687
2020-10-12,0.28133600000000003,121.00607299804688,121.85235887523848,0.8462858771916046
2020-10-13,0.234436,117.79612731933594,117.69886347897864,-0.09726384035730007
2020-10-14,0.43141199999999996,117.88368225097656,115.48106448900047,-2.4026177619760887
2020-10-15,0.346344,117.4167709350586,117.97119397696682,0.5544230419082226
2020-10-16,0.23439466666666667,115.7728500366211,116.68721586654202,0.914365829920925
2020-10-19,0.47118000000000004,112.81580352783205,113.02980416838348,0.21400064055143275
2020-10-20,0.149376,114.30406951904295,113.48697056487585,-0.8170989541671076
2020-10-21,0.155068,113.6815185546875,114.24569636322538,0.5641778085378775
2020-10-22,0.255232,112.59207916259766,113.2146263110706,0.6225471484729468
2020-10-23,0.20788933333333334,111.90145874023438,110.89955881245989,-1.0018999277744882
2020-10-26,0.146748,111.91118621826172,112.3391745749253,0.42798835666357604
2020-10-27,0.079736,113.41889190673828,111.91117547954262,-1.5077164271956605
2020-10-28,0.098048,108.16620635986328,109.30430584931332,1.1380994894500418
2020-10-29,0.05425600000000001,112.17382049560548,108.03002883521329,-4.143791660392196
2020-10-30,0.0988,105.89005279541016,106.13323338437137,0.2431805889612093
2020-11-02,0.19011199999999998,105.80250549316406,106.66825263139128,0.8657471382272206
2020-11-03,0.16902799999999998,107.42697143554688,111.02600479592498,3.599033360378101
2020-11-04,0.051212,111.81390380859376,114.73206338089028,2.918159572296517
2020-11-05,0.174352,115.78260040283205,115.2905176092489,-0.4920827935831511
2020-11-06,0.21160666666666664,115.65104675292967,117.41471118065078,1.7636644277211104
2020-11-09,-0.010947999999999992,113.34173583984376,112.5914649825652,-0.750270857278565
2020-11-10,0.148232,113.0007095336914,114.18945127149736,1.1887417378059553
2020-11-11,0.24624400000000002,116.43055725097656,116.55723597528558,0.1266787243090164
2020-11-12,0.153768,116.15773010253906,116.38185824859464,0.22412814605557685
2020-11-13,0.17809066666666665,116.20646667480467,115.87516977446028,-0.3312969003443982
2020-11-16,0.105164,117.21984100341795,116.48903680048612,-0.7308042029318358
2020-11-17,0.15771600000000002,116.3331298828125,115.57310891661412,-0.7600209661983826
2020-11-18,0.189712,115.0079574584961,114.57922192592288,-0.4287355325732136
2020-11-19,0.354912,115.6023406982422,115.60235020034796,9.502105754677359e-06
2020-11-20,0.10333733333333334,114.33563232421876,114.1797070350925,-0.1559252891262588
2020-11-23,0.218256,110.93496704101562,110.9934577345429,0.05849069352727554
2020-11-24,0.057336,112.22119140625,112.5914676385363,0.3702762322863009
2020-11-25,0.28502,113.05917358398438,113.58534323153174,0.5261696475473627
2020-11-27,0.18311733333333335,113.60482788085938,113.97509336124736,0.37026548038798524
2020-11-30,0.145172,116.00183868408205,117.91164950975931,1.909810825677269
2020-12-01,0.37858400000000003,119.57786560058594,118.89579275045068,-0.6820728501352562
2020-12-02,0.225648,119.92865753173828,120.35737264430932,0.4287151125710409
2020-12-03,0.173428,119.79222869873048,119.46094830759232,-0.331280391138165
2020-12-04,0.2622733333333333,119.11991119384766,119.17837220495473,0.05846101110707025
2020-12-07,0.30125599999999997,120.58150482177734,121.18560441240832,0.6040995906309803
2020-12-08,0.329976,121.19534301757812,121.34153828117272,0.146195263594592
2020-12-09,0.131844,118.66194915771484,117.41472117824992,-1.247227979464924
2020-12-10,0.164768,120.08456420898438,119.29529488946088,-0.7892693195234983
2020-12-11,0.20305733333333334,119.27581024169922,119.46095361716566,0.18514337546643844
2020-12-14,0.231856,118.66194915771484,121.15638849281328,2.494439335098434
2020-12-15,0.08435600000000001,124.60575103759766,124.14779942243344,-0.45795161516421956
2020-12-16,0.191936,124.5375518798828,125.59963849451056,1.0620866146277592
2020-12-17,0.25746800000000003,125.4047622680664,125.65812910620394,0.2533668381375378
2020-12-18,0.1681533333333333,123.4170150756836,121.81899726937544,-1.5980178063081496
2020-12-21,0.177308,124.94680786132812,128.24028106231793,3.2934732009898084
2020-12-22,0.111052,128.5033721923828,128.77615987072127,0.2727876783384602
2020-12-23,0.250388,127.6068878173828,127.9577128863763,0.3508250689935011
2020-12-24,0.295292,128.591064453125,130.55931944043445,1.9682549873094501
2020-12-28,0.15684,133.190185546875,134.51538107187807,1.3251955250030676
2020-12-29,0.235624,131.4167938232422,132.10859581206566,0.691801988823471
2020-12-30,0.457572,130.2962188720703,130.6470123311244,0.3507934590540742
2020-12-31,0.280772,129.2926025390625,130.10136410422703,0.8087615651645308
2021-01-04,0.191004,126.09659576416016,125.58990196321088,-0.5066938009492787
2021-01-05,0.259916,127.6556167602539,124.44985429829092,-3.2057624619629905
2021-01-06,0.25948,123.35852813720705,125.07348804043062,1.7149599032235727
2021-01-07,0.153256,127.56793975830078,129.0392208425577,1.4712810842569297
2021-01-08,0.06850133333333333,128.66896057128906,125.88221147258122,-2.786749098707844
2021-01-11,0.249788,125.67758178710938,125.20986029323174,-0.46772149387763307
2021-01-12,0.22048,125.50218200683594,125.46321296847564,-0.03896903836029253
2021-01-13,0.221732,127.53868103027344,127.45102130334304,-0.08765972693039714
2021-01-14,0.247852,125.60941314697266,125.48270567821912,-0.126707468753537
2021-01-15,0.240984,123.88469696044922,124.50831458189415,0.6236176214449358
2021-01-19,0.20107200000000003,124.55703735351562,125.36579577837638,0.8087584248607556
2021-01-20,0.05914,128.64950561523438,130.3741523744166,1.7246467591822352
2021-01-21,0.294372,133.36553955078125,132.79065894872045,-0.5748806020608015
2021-01-22,0.22631199999999999,135.5092315673828,139.40684948015027,3.8976179127674584
2021-01-25,0.024816,139.26068115234375,139.92325867417892,0.6625775218351748
2021-01-26,0.13253600000000001,139.49452209472656,139.75761679075893,0.26309469603236835
2021-01-27,0.062552,138.42269897460938,135.947746278508,-2.474952696101383
2021-01-28,0.30198,133.5799560546875,132.35222218300785,-1.2277338716796464
2021-01-29,0.09138133333333333,128.58131408691406,130.32546101984542,1.7441469329313577
2021-02-01,0.264548,130.70547485351562,132.2547347662849,1.549259912769287
2021-02-02,0.10324799999999999,131.53369140625,132.2840133435427,0.7503219372927106
2021-02-03,0.16572800000000001,130.5106201171875,132.81015030717464,2.299530189987138
2021-02-04,0.057839999999999996,133.8722381591797,134.0332529018306,0.16101474265090587
2021-02-05,0.12559333333333333,133.45748901367188,132.7451425942424,-0.7123464194294797
2021-02-08,0.140776,133.60389709472656,133.3209020588762,-0.28299503585037655
2021-02-09,0.11673750000000001,132.7256317138672,133.18428060554035,0.4586488916731639
2021-02-10,-0.06630799999999999,132.12060546875,132.61830831642197,0.4977028476719738
2021-02-11,0.15020399999999998,131.86691284179688,131.10573109073752,-0.7611817510593539
2021-02-12,0.21040400000000004,132.10108947753906,132.21820236374853,0.11711288620946902
2021-02-16,0.11888000000000001,129.97373962402344,128.08058387844284,-1.8931557455806
2021-02-17,-0.035219999999999994,127.68048095703124,126.08008757945028,-1.6003933775809571
2021-02-18,0.352368,126.5777816772461,127.09496971320031,0.51718803595422
2021-02-19,0.154576,126.73389434814452,124.91881659012454,-1.8150777580199815
2021-02-22,-0.10883600000000002,122.95735931396484,120.77145942992853,-2.185899884036317
2021-02-23,0.06863599999999999,122.82074737548828,121.92294077973033,-0.897806595757956
2021-02-24,0.1406,122.32303619384766,121.66923290454903,-0.6538032892986223
2021-02-25,0.14078,118.0683364868164,119.62970286388716,1.5613663770707547
